표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아	뜻풀이
돌미나리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	돌메나리	 	 	 	 	 	 	 	논이나 개천 따위의 습지에서 자라는 미나리.
돌방아	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	방애톡	 	 	 	돌바이	 	 	 	 	 	매의 하나
돌배	[명사][방언]	NNG	00_00_00	 	 	쎄배	 	 	 	 	 	꽝배	 	 	 	썅배	 	 	 	 	 	미존재 뜻풀이
돌배	[명사][방언]	NNG	01_00_01	 	 	 	 	 	 	 	아구배	 	 	 	 	 	 	 	 	 	 	돌배나무의 열매.
돌배	[명사][방언]	NNG	02_00_00	 	 	 	 	 	 	 	 	 	 	 	 	종배	 	 	 	 	 	돌로 만든 배.
돌배나무	[명사][방언]	NNG	00_00_00	돌배낭그	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	장미과의 낙엽 활엽 소교목
돌벼락	[명사][방언]	NNG	00_00_00	 	 	돌베락	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	갑자기 돌이 무더기로 내리 덮치는 사태.
돌벼루	[명사][방언]	NNG	00_00_00	 	 	돌베루	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돌로 만든 벼루.
돌보다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	거념하다, 거님하다	 	 	 	 	 	 	 	 	 	관심을 가지고 보살피다.
돌부리	[명사][방언]	NNG	00_00_00	돌뿌레기	 	돌배이, 돌빙이	돌배이, 돌빙이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	땅 위로 내민 돌멩이의 뾰족한 부분.
돌부처	[명사][방언]	NNG	00_00_00	돌부체	 	돌부체	 	 	 	 	 	통부체	 	 	 	 	 	 	 	 	 	돌로 만든 부처.
돌뽕나무	[명사][방언]	NNG	00_00_00	 	 	 	 	똘뽕나무	똘뽕나무	 	 	 	 	 	 	 	 	 	 	 	 	뽕나뭇과의 낙엽 활엽 소교목
돌샘	[명사][방언]	NNG	00_00_00	 	 	 	 	독시암	 	 	 	 	 	 	 	 	 	 	 	 	 	돌 틈에서 흘러나오는 샘.
돌소금	[명사][방언]	NNG	00_00_00	 	 	돌소곰	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	천연으로 나는 염화나트륨의 결정
돌아가다	[동사][방언]	VV	00_00_00	돌어가다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	물체가 일정한 축을 중심으로 원을 그리면서 움직여 가다
돌아눕다	[동사][방언]	VV	00_00_00	돌어눕다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	누운 채로 몸을 돌려 반대쪽으로 향하다.
돌아다니다	[동사][방언]	VV	00_00_00	돌아댕기다, 돌어댕기다	 	돌아대이다, 돌아댄기다, 돌아댕기다	돌아댕기다	돌아댕기다	 	 	 	얼르다	 	 	바라댕기다	 	 	 	 	 	 	여기저기 여러 곳으로 다니다.
돌아들다	[동사][방언]	VV	00_00_00	돌어들다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	여기저기 돌다가 일정한 곳으로 들어오거나 들어가다.
돌아보다	[동사][방언]	VV	00_00_00	돌다보다	 	 	돌어보다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	고개를 돌려 보다.
돌아서다	[동사][방언]	VV	00_00_00	돌어세다, 돌어스다	 	 	 	돌아스다	 	 	 	 	돌아세다	돌아세다	 	 	 	 	 	 	 	향하고 있던 쪽에서 반대 방향으로 방향을 바꾸어 서다.
돌아앉다	[동사][방언]	VV	00_00_00	돌어앉다	 	 	 	 	 	외오앉다	외오앉다	 	 	 	 	 	 	 	 	 	 	방향을 바꾸어 앉다.
돌아오다	[동사][방언]	VV	00_00_00	돌어오다	 	 	 	돌오다	 	 	 	 	 	 	 	 	 	 	 	 	 	원래 있던 곳으로 다시 오는 상태가 되다.
돌엄마	[명사][방언]	NNG	00_00_00	 	 	 	돌어매	 	 	 	 	 	 	 	 	 	 	 	 	 	 	자식이 아무 탈 없이 잘 크도록 치성드리는 돌.
돌연변이	[명사][방언]	NNG	00_00_00	 	 	 	 	똘것	 	 	 	 	 	 	 	 	 	 	 	 	 	생물체에서 어버이의 계통에 없던 새로운 형질이 나타나 유전하는 현상
돌옷	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	 	 	돌버슷	 	 	 	 	 	 	돌이나 바위의 거죽에 난 이끼.
돌이키다	[동사][방언]	VV	00_00_00	돌리키다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	원래 향하고 있던 방향에서 반대쪽으로 돌리다.
돌잔치	[명사][방언]	NNG	00_00_00	돌잔차, 돌잔채	 	 	 	똘잔체	똘잔체	 	 	 	 	 	 	 	 	 	 	 	 	첫돌이 되는 날에 베푸는 잔치.
돌장이	[명사][방언]	NNG	00_00_00	돌재이	 	돌재이	돌재이	독쟁이	독재이	 	돌재이	 	 	 	 	 	 	 	 	 	 	돌을 다루어 물건을 만드는 사람.
돌절구	[명사][방언]	NNG	00_00_00	 	 	돌도구통	 	 	독도구	 	 	 	돌덜구	돌덜구	 	 	 	 	 	 	 	돌의 가운데 부분을 오목하게 파서 만든 절구.
돌중	[명사][방언]	NNG	00_00_00	똘중	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	중이 아니면서 중처럼 행세하며 동냥하러 다니는 사람.
돌쩌귀	[명사][방언]	NNG	00_00_00	돌꼬지	돌쪼귀, 돌쬐기, 돌쭈기	도짜구, 도쪼구, 돌쭈구, 돌쭈기, 돌쭉, 돌쭉쉬	돌짜기, 돌쩨기, 돌쭉	돌쩨기, 돌쪼굴, 문거리	도쪼고, 돌쭉, 문베기, 문제비	도쪼귀, 도쪼기, 도쪽, 도기쪼기, 독쪼기, 돌쇠, 돌짜기, 돌쩌괴, 돌쩌구이, 돌쩨기, 돌쪼귀, 돌쫄기, 돌쭈귀, 돌쭈기, 또쪼구, 문고비	도쩨구	도절귀, 돌처귀, 돌철귀	돌떠구	돌떠구, 돌뜨구	돌찌	문뎔귀, 문첩시	 	 	 	 	 	미존재 뜻풀이
돌쩌귀	[명사][방언]	NNG	01_00_00	돌쪼구	 	 	 	 	 	 	돌쪼구	 	 	 	 	 	 	 	 	 	 	공중에 띄우는 연의 하나
돌쩌귀	[명사][방언]	NNG	02_00_00	돌쪽	돌쪼구, 돌쪼기	돌짜구, 돌짝, 돌쪼구, 돌찌개	돌짜구, 돌짝, 돌쩌구	돌쩌구, 돌쪼구, 돌쪽	 	돌짜구, 돌쪼기	돌쪼구	 	돌또구	돌또구	문쪽	문뎌귀, 문쪽	 	 	 	 	 	문짝을 문설주에 달아 여닫는 데 쓰는 두 개의 쇠붙이
돌차기	[명사][방언]	NNG	00_00_00	 	 	시차기	이시거리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	뜰이나 한길에 여러 모양의 그림을 그려 놓고 차례에 따라 앙감질로 돌을 차 가거나 주워 던지며 노는 놀이
돌출하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	우둘럿하다, 우둘럿하다, 우들럿하다	 	 	 	 	 	 	 	 	 	예기치 못하게 갑자기 쑥 나오거나 불거짐.
돌층계	[명사][방언]	NNG	00_00_00	돌칭계	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돌로 쌓아 만든 층계.
돌팔매	[명사][방언]	NNG	00_00_00	돌풀매	 	 	 	돌폴매	 	 	 	머드럼	 	 	 	 	돌팡매	 	 	 	 	무엇을 맞히려고 던지는 돌멩이.
돌팔매질	[명사][방언]	NNG	00_00_00	 	 	 	 	돌폴매질	돌폴매질	 	 	돌넬림, 머드럼질, 머드레질	 	망패질	돌뿔내기	돌뿌리각질, 돌째기	 	 	 	 	 	무엇을 맞히려고 돌멩이를 던지는 짓.
돌팔매질하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	머드럼질하다, 머드레질하다	 	 	 	 	 	 	 	 	 	무엇을 맞히려고 돌멩이를 던지는 짓.
돌팔이	[명사][방언]	NNG	00_00_00	돌폴이	 	 	 	돌포리, 돌폴이, 돌풀이	 	 	 	 	 	 	 	 	 	 	 	 	 	떠돌아다니며 지식이나 기술, 물건 따위를 팔며 사는 사람
돌팥	[명사][방언]	NNG	00_00_00	 	 	돌퐅	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	야생의 팥
돌하르방	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	옹중석	 	 	 	 	 	 	 	 	 	돌로 만든 할아버지라는 뜻으로, 제주도에서 안녕과 질서를 수호하여 준다고 믿는 수호 석신
돌화로	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	돌화리	 	 	 	 	 	 	 	 	 	돌을 쪼거나 쌓아서 만든 화로.
돌확	[명사][방언]	NNG	00_00_00	 	돌황, 확돌, 돌학	호박통, 호배기	학돌	학독, 학돌, 학돔	학도이, 학독, 학돌, 호악돌, 확독	학절구, 확돌, 학도구, 학도기, 학도끼, 학독, 확도구	 	돌호겡이, 돌혹, 확독	 	 	 	 	 	 	 	 	 	돌로 만든 조그만 절구.
돔발상어	[명사][방언]	NNG	00_00_00	 	 	민드미, 돔바리, 민드기	돔배기	돔바리	 	피가리	 	돔바리, 돔바리상의	 	 	 	 	 	 	 	 	 	돔발상엇과의 바닷물고기
돕다	[동사][방언]	VV	00_00_00	도웁다	 	 	 	도우다, 도웁다	 	 	도우다	도왜다	 	 	 	 	 	 	 	 	 	남이 하는 일이 잘되도록 거들거나 힘을 보태다.
돕지	[명사][방언]	NNG	00_00_00	 	 	 	 	덥지, 돔바우, 톱지	덥배	 	 	독지, 덥지	 	 	 	 	 	 	 	 	 	갑옷이나 마고자 따위의 섶
돗바늘	[명사][방언]	NNG	00_00_00	돗바눌, 장대바눌, 장대바늘	 	독바널, 똣바널, 똣바늘, 똣발	독바널, 돌바늘	똣바늘	 	 	굵은바늘	멕바농	 	벨랑침	돌바눌, 돌바늘	 	막대바늘	 	 	 	 	매우 크고 굵은 바늘
돗자리	[명사][방언]	NNG	00_00_00	 	 	골자리, 방석, 삽자리, 초시기, 똣자리, 목골자리, 초석자리	삭자리, 청석자리, 초시기, 초식자리, 최시기, 초석자리	돗자루	 	 	초석자리	배초석	돗재리	 	도꾸, 돆, 돗보전	도꾸, 독자리, 돆	돗보전	 	 	 	 	왕골이나 골풀의 줄기를 재료로 하여 만든 자리
동가리	[명사][방언]	NNG	00_00_00	 	 	똥가리	 	 	 	 	동과리	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
동갈메기	[명사][방언]	NNG	00_00_00	 	 	메기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	첨칫과의 바닷물고기
동갈치	[명사][방언]	NNG	00_00_00	 	 	황달치, 동가리갈치	 	청갈치	 	 	 	 	 	 	 	 	공치아재비	 	 	 	 	동갈칫과의 바닷물고기
동갑	[명사][방언]	NNG	00_00_00	 	 	 	 	갑짜리, 동갑걸림	동갑걸림	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
동갑내기	[명사][방언]	NNG	00_00_00	동개비, 동갭내기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	나이가 같은 사람.
동강	[명사][방언]	NNG	00_00_00	댕아리	 	 	 	돔박, 돔박	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
동강	[명사][방언]	NNG	01_00_00	 	 	동가리	 	동가리	 	 	동가리	 	 	 	 	동가리	 	 	 	 	 	일정한 부피를 가진 긴 물건의, 짤막하게 잘라진 부분이나 쓰고 남아 짤막하게 된 부분
동강동강	[부사][방언]	MAG	00_00_00	댕가리댕가리, 동가리동가리	 	 	 	돔박돔박	돔박돔박	 	 	 	 	 	 	 	 	 	 	 	 	긴 물체가 여러 작은 토막으로 잇따라 잘라지거나 끊어지는 모양
동강이	[명사][방언]	NNG	00_00_00	 	 	똥가리	오동가리	돔방이, 동갈이	돔방이, 동갈이	 	 	 	 	 	 	 	 	 	 	 	 	일정한 부피를 가진 긴 물건의, 짤막하게 잘라진 부분이나 쓰고 남아 짤막하게 된 부분
동격	[명사][방언]	NNG	00_00_00	 	 	동겍	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	같은 자격이나 지위.
동경이	[명사][방언]	NNG	00_00_00	 	 	 	뎅겡이	 	 	 	 	꼴리몽크래기	 	 	 	 	 	 	 	 	 	예전에, 경주에서 주로 키우던 꼬리가 짧은 개.
동곳	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	동굿	동굿	 	 	 	 	 	 	 	상투를 튼 뒤에 그것이 다시 풀어지지 아니하도록 꽂는 물건
동그라미	[명사][방언]	NNG	00_00_00	동글래미, 동글뱅이, 똥굴이	 	도루배이, 돌방배이, 동구래미, 동글뱅이, 똥구래미, 똥굴배이, 똥굴뱅이	공똘배이, 돌방배이, 똥굴배이	돌이뱅이, 똥구래미, 똥글배기, 똥글뱅이	똥글배기	띵기래미	 	공돌라기, 공돌레기, 방돌라기, 뱅돌레기	똥그랭이	동구랭이, 동구래미, 똥구랭이, 똥그랭이	동구랭이, 동굴배이, 동굴뱅이	 	댕구라미, 댕그라미, 댕그래, 뎅그라미, 동그래, 동그래미, 동그매, 됭그라미, 됭그매이	 	 	 	 	동그랗게 생긴 모양.
동그랑쇠	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	둥그렁쇠	 	 	 	 	 	 	어린아이 장난감의 하나
동그랗다	[형용사][방언]	VA	00_00_00	동그랍다	 	동구랗다	돌방하다, 뽕그랗다	똥그럽다	동그랍다, 똥그럽다	동그랍다	 	동골락하다, 동그랑하다, 동글락하다, 동글랑하다	 	동구랗다	 	 	 	 	 	 	 	또렷하게 동글다.
동그래지다	[동사][방언]	VV	00_00_00	동구래지다, 동글래지다	 	동구라지다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	동그랗게 되다.
동그스름하다	[형용사][방언]	VA	00_00_00	 	동구스럽다	 	 	동고롬허다	 	 	 	 	 	동구스름하다	 	 	 	 	 	 	 	약간 동글다.
동그스름히	[부사][방언]	MAG	00_00_00	 	 	동구수룸이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	약간 동글다.
동글납작하다	[형용사][방언]	VA	00_00_00	동굴납족하다, 동글납족하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	생김새가 동글면서 납작하다.
동글동글	[부사][방언]	MAG	00_00_00	 	 	돌방돌방, 동굴동굴	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	여럿이 다 또는 매우 동근 모양.
동글동글하다	[형용사][방언]	VA	00_00_00	 	 	돌방돌방하다, 동굴동굴하다, 똥실똥실하다	 	똥골똥골하다	똥골똥골하다	 	 	 	 	 	 	 	 	 	 	 	 	여럿이 다 또는 매우 동근 모양.
동글하다	[형용사][방언]	VA	00_00_00	 	 	돌방하다, 동구람하다	 	똥굴하다	 	똥글하다	 	 	 	 	 	 	 	 	 	 	 	보기에 꽤 동글다.
동기간	[명사][방언]	NNG	00_00_00	동구간	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
동나무	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	낭섬비, 섬부쟁이, 섬비	 	 	 	 	 	 	 	 	 	조그맣게 단으로 묶어서 땔감으로 파는 잎나무.
동남동풍	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	처진새	 	 	 	 	 	 	 	 	 	 	 	동남동쪽에서 불어오는 바람.
동남풍	[명사][방언]	NNG	00_00_00	 	 	 	 	수지바람	 	 	 	동마바름, 듯샛바름, 을진풍, 음진풍	 	 	 	 	 	 	 	 	 	동남쪽에서 불어오는 바람.
동냥	[명사][방언]	NNG	00_00_00	 	 	 	 	동낭, 동녕	 	똥넁	 	동영, 동녕	동낭, 동녕	동낭, 동넝, 동녕	 	 	 	 	 	 	 	거지나 동냥아치가 돌아다니며 돈이나 물건 따위를 거저 달라고 비는 일
동냥아치	[명사][방언]	NNG	00_00_00	동냥바치, 동양아치	동양배기	동나치, 동낭아치, 동냥재이, 동양재이, 동양쟁이	 	동낭치, 동나치, 동냥이, 동냥체, 똥냥아치	동나치, 동나그치, 동낭아치, 똥냥아치	동냥바가치	동냥바지, 동냥배기	걸바시, 걸바지, 걸바치, 걸렁바쉬, 게와시, 동녕바치, 동영바치	동내치, 동넝치	동내치, 동넝꾼, 동넝치	 	 	 	동냥배기	동넝치	 	 	동냥하러 다니는 사람.
동냥자루	[명사][방언]	NNG	00_00_00	 	 	동냥자리	동양자리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	동냥아치가 동냥한 것을 넣기 위하여 가지고 다니는 자루
동냥질	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	동녕질	거랑질	 	 	 	 	 	 	 	 	동냥하는 짓.
동냥치	[명사][방언]	NNG	00_00_00	 	 	 	 	동낭지	 	 	 	 	 	 	 	 	 	 	 	 	 	동냥하러 다니는 사람.
동댕이치다	[동사][방언]	VV	00_00_00	동댕가리치다	 	 	 	 	 	며내부치다	며내부치다	 	메팽가티다	메팽가티다	 	 	 	 	 	 	 	들어서 힘껏 내던지다.
동동주	[명사][방언]	NNG	00_00_00	 	 	 	 	둥벙주	 	 	 	 	 	 	 	 	 	 	 	 	 	맑은 술을 떠내거나 걸러 내지 아니하여 밥알이 동동 뜨는 막걸리
동동팔월	[명사][방언]	NNG	00_00_00	 	 	둥둥팔얼	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	음력 팔월은 매우 분주하여 언제 지나갔는지도 모르게 빨리 지나감을 이르는 말
동록	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	동뢰기	동뢰기	 	 	 	 	 	미존재 뜻풀이
동록	[명사][방언]	NNG	02_00_00	 	 	 	 	 	 	 	 	 	동눅, 동묵	동눅, 동묵	취	 	 	 	 	 	 	구리의 표면에 녹이 슬어 생기는 푸른빛의 물질
동마루	[명사][방언]	NNG	00_00_00	 	 	 	 	동머리	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
동무	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	동뮈	동뮈	 	 	 	 	 	미존재 뜻풀이
동무	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	 	 	동메, 동미	동미	 	 	 	 	 	늘 친하게 어울리는 사람.
동무니	[명사][의존][방언]	NNB	00_00_00	 	 	 	동사이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	윷놀이에서, 한 개의 말에 어우른 동을 세는 단위.
동물림	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	세물림	 	 	 	 	 	 	 	 	 	가늘고 긴 물건들을 이을 때 그 마디에 장식을 대는 일
동박새	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	돔박생이	 	 	 	 	 	 	 	 	 	동박샛과의 새
동방구리	[명사][방언]	NNG	00_00_00	톰방구리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	동이보다 작고 배가 더 부른 질그릇.
동백	[명사][방언]	NNG	01_00_00	동박	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	차나뭇과의 상록 활엽 교목
동백기름	[명사][방언]	NNG	00_00_00	동박지름	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	동백나무의 씨에서 짠 기름
동백꽃	[명사][방언]	NNG	00_00_00	동박꽃	 	 	 	 	 	 	 	돔박고장, 돔박꽃	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
동백나무	[명사][방언]	NNG	00_00_00	동박나무, 동박낭그, 동박낭기	 	 	 	 	 	 	 	돔박낭	 	 	 	 	 	 	 	 	 	차나뭇과의 상록 활엽 교목
동버들개	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	똥고기	똥고기	 	 	 	 	 	잉엇과의 민물고기
동부	[명사][방언]	NNG	00_00_00	 	 	돈부, 돔부, 뽄디	 	덤부, 돈부, 돔보, 돔부, 듬부	 	돔모	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
동부	[명사][방언]	NNG	01_00_00	양대	 	돔비, 동불, 동비, 양대	돔비, 동불, 양대	 	 	 	 	돔비	동배	동배	 	 	 	 	 	 	 	콩과의 한해살이 덩굴성 식물
동사리	[명사][방언]	NNG	00_00_00	뿌구리	 	 	 	불무탱이	 	 	 	 	 	 	 	 	 	 	 	 	 	동사릿과의 민물고기
동산	[명사][방언]	NNG	00_00_00	 	 	까끔	 	까끔	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
동삼	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	동샘이	동샘이	동샘이	 	동샘이	 	 	 	미존재 뜻풀이
동상	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	곳은빙	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
동생	[명사][방언]	NNG	00_00_00	 	 	동숭, 동싱	 	동숭	동쇵	 	 	동숭, 동싱	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
동생	[명사][방언]	NNG	01_00_00	동상	 	동상	동상	동상, 동숭에	 	동상	동상	 	 	 	동상	동상	 	 	 	 	 	같은 부모에게서 태어난 사이거나 일가 친척 가운데 손아랫사람을 이르는 말
동서	[명사][방언]	NNG	02_00_00	동세	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	시아주버니나 시동생의 아내.
동서남북	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	동셔냄북	 	 	 	 	 	동쪽, 서쪽, 남쪽, 북쪽이라는 뜻으로, 모든 방향을 이르는 말
동성동본	[명사][방언]	NNG	00_00_00	동승동본	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	성(姓)과 본관이 모두 같음.
동아줄	[명사][방언]	NNG	00_00_00	 	동아발	 	 	 	 	 	 	 	동애줄	동애줄	 	 	 	 	 	 	 	굵고 튼튼하게 꼰 줄.
동업하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	동탑하다	 	 	 	 	 	같이 사업을 함. 또는 그 사업.
동여매다	[동사][방언]	VV	00_00_00	동이매다, 되매다, 동고매다, 동에매다, 뒈매다	동겨매다, 됭에매다	댕이매다, 동치매다, 둥치매다	옹쳐매다	뎅기매다, 동게매다	동게매다	옹첨매다	됭여매다	자려무끄다	 	동제매다, 동에매다	 	 	댕여매다	 	 	 	 	끈이나 새끼, 실 따위로 두르거나 감거나 하여 묶다.
동옷	[명사][방언]	NNG	00_00_00	동우	 	 	 	돔방이, 돔방애, 돔방우	돔뱅이	 	 	 	 	 	 	 	 	 	 	 	 	남자가 입는 저고리. 겹것과 핫것이 있다.
동의나물	[명사][방언]	NNG	00_00_00	앨개지	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미나리아재빗과의 여러해살이풀
동이	[명사][방언]	NNG	00_00_00	동오디이	 	 	 	 	 	 	 	 	 	 	 	도왜	 	도왜	 	 	 	미존재 뜻풀이
동이	[명사][방언]	NNG	01_00_00	도오, 도우, 동오, 동우	 	동오	도우, 동오	동우	 	동오	동오	 	 	동애, 동왜	 	 	 	 	 	 	 	질그릇의 하나
동이다	[동사][방언]	VV	00_00_00	동기다, 됭기다, 뎅이다, 됭이다, 뒝이다	동기다, 됑기다, 잠매다, 됭이다	댕이다, 동치다, 딩이다, 차매다, 뎅이다, 됭이다, 뒝이다	 	뎅이다, 동게다, 됭이다, 됭키다, 매동가리허다	됭이다	동기다, 뎅이다, 됭이다	동기다, 됭이다	뒝이다	 	 	동지다	동지다, 도이다	 	 	 	 	 	끈이나 실 따위로 감거나 둘러 묶다.
동자개	[명사][방언]	NNG	00_00_00	빠가빠가, 빠가사리, 자가사리	 	 	 	 	 	 	여어동자개	 	빼가리, 황자개	재가리, 황자개	 	 	 	 	 	 	 	동자갯과의 민물고기
동전	[명사][방언]	NNG	05_00_00	 	 	 	 	 	 	 	 	 	 	꾸리전	 	 	 	 	 	 	 	구리로 만든 돈
동정	[명사][방언]	NNG	01_00_00	구리	 	동진	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	한복의 저고리 깃 위에 조붓하게 덧대어 꾸미는 하얀 헝겊 오리
동지섣달	[명사][방언]	NNG	00_00_00	동지슫달	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	동짓달과 섣달을 아울러 이르는 말.
동지죽	[명사][방언]	NNG	00_00_00	 	 	동지퐅죽	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	동짓날에 찹쌀 새알심을 넣고 쑤어 먹는 팥죽
동짓달	[명사][방언]	NNG	00_00_00	벤동짓달	 	 	 	 	 	 	 	 	 	오동짓달	 	 	 	 	 	 	 	음력으로 열한 번째 달.
동쪽	[명사][방언]	NNG	00_00_00	 	 	새짝, 동쭉	 	 	 	 	 	 	 	동켄	 	새, 새짝	 	 	 	 	 	네 방위의 하나. 해가 떠오르는 쪽이다.
동창회	[명사][방언]	NNG	00_00_00	 	 	동창헤	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	한 학교를 졸업한 사람들이 모여 서로 친목을 도모하고 모교와의 연락을 하기 위하여 조직한 모임
동치미	[명사][방언]	NNG	00_00_00	동지미, 무꾸동지미	 	 	 	 	 	동짐치, 동기미	동기미	 	동티미	동티미	 	 	 	 	 	 	 	무김치의 하나
동태	[명사][방언]	NNG	00_00_00	언태	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
동태	[명사][방언]	NNG	03_00_00	 	 	 	 	 	 	 	 	 	 	농태	 	 	 	 	 	 	 	얼린 명태.
동티	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	동투	 	 	 	 	 	 	 	땅, 돌, 나무 따위를 잘못 건드려 지신(地神)을 화나게 하여 받는 재앙
동풍	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	동새풍	 	동새풍	 	 	 	미존재 뜻풀이
동풍	[명사][방언]	NNG	02_00_00	동새, 새풍	녹새	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	동쪽에서 부는 바람.
동행	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	 	 	저패걸음	 	 	 	 	 	 	같이 길을 감.
돛	[명사][방언]	NNG	00_00_00	 	 	도풍, 똧	도풍	 	 	 	 	 	 	 	 	 	 	 	 	도풍	 	미존재 뜻풀이
돛	[명사][방언]	NNG	01_00_00	 	 	 	연장	 	 	 	 	 	 	돆	 	 	 	 	 	 	 	배 바닥에 세운 기둥에 매어 펴 올리고 내리고 할 수 있도록 만든 넓은 천
